date,open,high,low,close,adj close,volume
2019-04-03,193.25,196.5,193.15,195.35,0.0,23271830
2019-04-02,191.09,194.46,191.05,194.02,0.0,22765732
2019-04-01,191.64,191.68,188.38,191.24,0.0,27861964
2019-03-29,189.83,190.08,188.54,189.95,0.0,23563961
2019-03-28,188.95,189.56,187.53,188.72,0.0,20780363
2019-03-27,188.75,189.76,186.55,188.47,0.0,29848427
2019-03-26,191.66,192.88,184.58,186.79,0.0,49800538
2019-03-25,191.51,191.98,186.6,188.74,0.0,43845293
2019-03-22,195.34,197.69,190.78,191.05,0.0,42407666
2019-03-21,190.02,196.33,189.81,195.09,0.0,51034237
2019-03-20,186.23,189.49,184.73,188.16,0.0,31035231
2019-03-19,188.35,188.99,185.92,186.53,0.0,31646369
2019-03-18,185.8,188.39,185.79,188.02,0.0,26219832
2019-03-15,184.85,187.33,183.74,186.12,0.0,39042912
2019-03-14,183.9,184.1,182.56,183.73,0.0,23579508
2019-03-13,182.25,183.3,180.92,181.71,0.0,31032524
2019-03-12,180.0,182.67,179.37,180.91,0.0,32467584
2019-03-11,175.49,179.12,175.35,178.9,0.0,32011034
2019-03-08,170.32,173.07,169.5,172.91,0.0,23999358
2019-03-07,173.87,174.44,172.02,172.5,0.0,24796374
2019-03-06,174.67,175.49,173.94,174.52,0.0,20810384
2019-03-05,175.94,176.0,174.54,175.53,0.0,19737419
2019-03-04,175.69,177.75,173.97,175.85,0.0,27436203
2019-03-01,174.28,175.15,172.89,174.97,0.0,25886167
2019-02-28,174.32,174.91,172.92,173.15,0.0,28215416
2019-02-27,173.21,175.0,172.73,174.87,0.0,27835389
2019-02-26,173.71,175.3,173.17,174.33,0.0,17070211
2019-02-25,174.16,175.87,173.95,174.23,0.0,21873358
2019-02-22,171.58,173.0,171.38,172.97,0.0,18913154
2019-02-21,171.8,172.37,170.3,171.06,0.0,17249670
2019-02-20,171.19,173.32,170.99,172.03,0.0,26114362
2019-02-19,169.71,171.44,169.49,170.93,0.0,18972826
2019-02-15,171.25,171.7,169.75,170.42,0.0,24626814
2019-02-14,169.71,171.26,169.38,170.8,0.0,21835747
2019-02-13,171.39,172.48,169.92,170.18,0.0,22490233
2019-02-12,170.1,171.0,169.7,170.89,0.0,22283523
2019-02-11,171.05,171.21,169.25,169.43,0.0,20993425
2019-02-08,168.99,170.66,168.42,170.41,0.0,23819966
2019-02-07,172.4,173.94,170.34,170.94,0.0,31741690
2019-02-06,174.65,175.57,172.85,174.24,0.0,28239591
2019-02-05,172.86,175.08,172.35,174.18,0.0,36101628
2019-02-04,167.41,171.66,167.28,171.25,0.0,31495582
2019-02-01,166.96,168.98,165.93,166.52,0.0,32668138
2019-01-31,166.11,169.0,164.56,166.44,0.0,40739649
2019-01-30,163.25,166.15,160.23,165.25,0.0,61109780
2019-01-29,156.25,158.13,154.11,154.68,0.0,41587239
2019-01-28,155.79,156.33,153.66,156.3,0.0,26192058
2019-01-25,155.48,158.13,154.32,157.76,0.0,33547893
2019-01-24,154.11,154.48,151.74,152.7,0.0,25441549
2019-01-23,154.15,155.14,151.7,153.92,0.0,23130570
2019-01-22,156.41,156.73,152.62,153.3,0.0,30393970
